Vehicle,PaymentYear,TotalPayment
Chevrolet Bolt EUVAutomatic (variable gear ratios),9,42900.0
Chevrolet Bolt EUVAutomatic (variable gear ratios),10,43500.0
Chevrolet Bolt EUVAutomatic (variable gear ratios),11,44100.0
Chevrolet Bolt EUVAutomatic (variable gear ratios),12,44700.0
Hyundai Ioniq 5 RWD (Long Range)Automatic (A1),1,10870.0
Hyundai Ioniq 5 RWD (Long Range)Automatic (A1),2,21740.0
Hyundai Ioniq 5 RWD (Long Range)Automatic (A1),3,32610.0
Hyundai Ioniq 5 RWD (Long Range)Automatic (A1),4,43480.0
Hyundai Ioniq 5 RWD (Long Range)Automatic (A1),5,54350.0
Hyundai Ioniq 5 RWD (Long Range)Automatic (A1),6,55000.0
Hyundai Ioniq 5 RWD (Long Range)Automatic (A1),7,55650.0
Hyundai Ioniq 5 RWD (Long Range)Automatic (A1),8,56300.0
Hyundai Ioniq 5 RWD (Long Range)Automatic (A1),9,56950.0
Hyundai Ioniq 5 RWD (Long Range)Automatic (A1),10,57600.0
Hyundai Ioniq 5 RWD (Long Range)Automatic (A1),11,58250.0
Hyundai Ioniq 5 RWD (Long Range)Automatic (A1),12,58900.0
Tesla Model 3 Performance AWDAutomatic (A1),1,13248.0
Tesla Model 3 Performance AWDAutomatic (A1),2,26496.0
Tesla Model 3 Performance AWDAutomatic (A1),3,39744.0
Tesla Model 3 Performance AWDAutomatic (A1),4,52992.0
Tesla Model 3 Performance AWDAutomatic (A1),5,66240.0
Tesla Model 3 Performance AWDAutomatic (A1),6,66890.0
Tesla Model 3 Performance AWDAutomatic (A1),7,67540.0
Tesla Model 3 Performance AWDAutomatic (A1),8,68190.0
Tesla Model 3 Performance AWDAutomatic (A1),9,68840.0
Tesla Model 3 Performance AWDAutomatic (A1),10,69490.0
Tesla Model 3 Performance AWDAutomatic (A1),11,70140.0
Tesla Model 3 Performance AWDAutomatic (A1),12,70790.0
Kia Niro ElectricAutomatic (A1),1,9580.0
Kia Niro ElectricAutomatic (A1),2,19160.0
Kia Niro ElectricAutomatic (A1),3,28740.0
Kia Niro ElectricAutomatic (A1),4,38320.0
Kia Niro ElectricAutomatic (A1),5,47900.0
Kia Niro ElectricAutomatic (A1),6,48550.0
Kia Niro ElectricAutomatic (A1),7,49200.0
Kia Niro ElectricAutomatic (A1),8,49850.0
Kia Niro ElectricAutomatic (A1),9,50500.0
Kia Niro ElectricAutomatic (A1),10,51150.0
Kia Niro ElectricAutomatic (A1),11,51800.0
Kia Niro ElectricAutomatic (A1),12,52450.0
Nissan Leaf (40 kW-hr battery pack)Automatic (A1),1,6410.0
Nissan Leaf (40 kW-hr battery pack)Automatic (A1),2,12820.0
Nissan Leaf (40 kW-hr battery pack)Automatic (A1),3,19230.0
Nissan Leaf (40 kW-hr battery pack)Automatic (A1),4,25640.0
Nissan Leaf (40 kW-hr battery pack)Automatic (A1),5,32050.0
Nissan Leaf (40 kW-hr battery pack)Automatic (A1),6,32700.0
